run,rewards,policy
0,514.8290608,"{'1': [0.2, 1.0], '2': [0.0, 0.0], '3': [0.2, 0.0], '4': [0.2, 0.4], '5': [0.0, 0.2]}"
1,489.6389373,"{'1': [0.2, 1.0], '2': [0.8, 0.4], '3': [0.6, 0.4], '4': [0.8, 0.0], '5': [0.2, 0.4]}"
2,364.722672,"{'1': [0.2, 1.0], '2': [0.2, 0.8], '3': [0.6000000000000001, 0.8], '4': [0.8, 0.2], '5': [0.4, 0.6000000000000001]}"
3,358.8683244,"{'1': [0.2, 1.0], '2': [0.4, 0.6], '3': [0.2, 0.6], '4': [0.4, 0.8], '5': [0.2, 0.0]}"
4,341.9522706,"{'1': [0.2, 1.0], '2': [1.0, 0.8], '3': [0.2, 0.0], '4': [0.2, 0.0], '5': [0.4, 0.6]}"
5,337.636684,"{'1': [0.2, 1.0], '2': [0.6, 0.4], '3': [0.2, 0.6], '4': [0.4, 0.6], '5': [0.2, 0.0]}"
6,437.9966819,"{'1': [0.2, 1.0], '2': [0.0, 0.2], '3': [0.8, 0.8], '4': [0.0, 0.6000000000000001], '5': [0.2, 0.6000000000000001]}"
7,511.8837636,"{'1': [0.2, 1.0], '2': [0.4, 0.0], '3': [0.6, 0.4], '4': [0.4, 0.0], '5': [0.0, 0.4]}"
8,477.1219366,"{'1': [0.2, 1.0], '2': [0.4, 0.6000000000000001], '3': [0.6000000000000001, 0.6000000000000001], '4': [0.8, 0.8], '5': [0.0, 0.6000000000000001]}"
9,492.4303666,"{'1': [0.2, 1.0], '2': [0.8, 0.0], '3': [0.2, 0.6], '4': [1.0, 0.8], '5': [0.2, 0.4]}"
,457.5593093,
