run,rewards,policy
0,461.7390896,"{'1': [0.2, 1.0], '2': [0.2, 0.0], '3': [0.6, 0.4], '4': [0.0, 0.8], '5': [0.6, 0.4]}"
1,343.3025817,"{'1': [0.2, 1.0], '2': [0.0, 0.4], '3': [0.4, 0.2], '4': [0.2, 0.0], '5': [0.6, 0.8]}"
2,458.6035434,"{'1': [0.2, 1.0], '2': [0.2, 0.2], '3': [0.2, 0.8], '4': [0.6, 0.4], '5': [0.2, 0.4]}"
3,416.8359969,"{'1': [0.2, 1.0], '2': [0.6, 0.2], '3': [0.2, 0.2], '4': [0.4, 0.8], '5': [0.2, 0.4]}"
4,358.3638488,"{'1': [0.2, 1.0], '2': [0.8, 0.4], '3': [1.0, 0.0], '4': [0.8, 0.0], '5': [0.4, 0.2]}"
5,485.8738727,"{'1': [0.2, 1.0], '2': [0.8, 0.4], '3': [0.4, 0.0], '4': [0.6, 0.0], '5': [0.2, 0.4]}"
6,380.9179429,"{'1': [0.2, 1.0], '2': [0.6, 0.0], '3': [0.8, 0.2], '4': [0.6, 1.0], '5': [0.0, 0.2]}"
7,523.4382124,"{'1': [0.2, 1.0], '2': [0.4, 0.6], '3': [0.6, 0.4], '4': [0.8, 0.0], '5': [0.0, 0.4]}"
8,351.6302076,"{'1': [0.2, 1.0], '2': [0.4, 0.0], '3': [1.0, 0.6], '4': [0.6, 1.0], '5': [0.4, 0.0]}"
9,360.5667331,"{'1': [0.2, 1.0], '2': [0.0, 0.4], '3': [1.0, 0.2], '4': [0.0, 0.4], '5': [0.0, 0.8]}"
,398.8769699,
