run,rewards,policy
0,318.7703225,"{'1': [0.2, 1.0], '2': [0.4, 0.2], '3': [0.2, 1.0], '4': [0.2, 1.0], '5': [0.8, 0.2]}"
1,329.7895142,"{'1': [0.2, 1.0], '2': [1.0, 0.6], '3': [1.0, 0.2], '4': [0.2, 0.6], '5': [0.6, 0.0]}"
2,545.1738134,"{'1': [0.2, 1.0], '2': [0.8, 0.8], '3': [0.8, 0.2], '4': [0.2, 0.4], '5': [0.0, 0.4]}"
3,487.8551608,"{'1': [0.2, 1.0], '2': [0.4, 0.8], '3': [0.6000000000000001, 0.0], '4': [0.4, 0.0], '5': [0.0, 0.6000000000000001]}"
4,333.4479922,"{'1': [0.2, 1.0], '2': [0.0, 0.4], '3': [0.8, 0.0], '4': [0.0, 0.6], '5': [0.2, 0.8]}"
5,453.224204,"{'1': [0.2, 1.0], '2': [0.8, 1.0], '3': [0.0, 0.2], '4': [0.6, 0.0], '5': [0.2, 0.6]}"
6,464.2011544,"{'1': [0.2, 1.0], '2': [0.0, 0.2], '3': [0.2, 0.0], '4': [0.0, 0.0], '5': [0.2, 0.6]}"
7,349.2854933,"{'1': [0.2, 1.0], '2': [0.6, 0.0], '3': [0.0, 0.4], '4': [0.6, 0.2], '5': [0.2, 0.0]}"
8,362.029166,"{'1': [0.2, 1.0], '2': [0.6, 0.4], '3': [0.4, 0.2], '4': [0.2, 0.8], '5': [0.0, 0.4]}"
9,478.0021447,"{'1': [0.2, 1.0], '2': [0.2, 0.0], '3': [0.2, 0.4], '4': [0.8, 0.4], '5': [0.2, 0.6]}"
,407.626685,
