run,rewards,policy
0,427.4392393,"{'1': [0.2, 1.0], '2': [0.4, 0.0], '3': [0.4, 0.0], '4': [0.0, 0.0], '5': [0.0, 0.2]}"
1,553.3257039,"{'1': [0.2, 1.0], '2': [0.0, 0.0], '3': [0.0, 0.2], '4': [0.8, 0.8], '5': [0.0, 0.4]}"
2,359.055628,"{'1': [0.2, 1.0], '2': [1.0, 0.0], '3': [1.0, 0.0], '4': [0.8, 0.6], '5': [0.6, 0.4]}"
3,353.3667186,"{'1': [0.2, 1.0], '2': [1.0, 0.6], '3': [0.0, 0.2], '4': [0.6, 0.0], '5': [0.8, 1.0]}"
4,370.1162651,"{'1': [0.2, 1.0], '2': [0.0, 0.2], '3': [0.2, 0.0], '4': [0.6, 0.0], '5': [0.8, 1.0]}"
5,371.4242324,"{'1': [0.2, 1.0], '2': [0.8, 0.6], '3': [0.8, 0.8], '4': [0.2, 0.8], '5': [0.2, 0.2]}"
6,458.4156319,"{'1': [0.2, 1.0], '2': [0.4, 1.0], '3': [0.8, 0.6], '4': [1.0, 0.0], '5': [0.4, 0.2]}"
7,472.1388154,"{'1': [0.2, 1.0], '2': [0.0, 0.6], '3': [0.6, 0.4], '4': [1.0, 0.0], '5': [0.0, 0.6]}"
8,491.4137692,"{'1': [0.2, 1.0], '2': [0.8, 0.2], '3': [0.2, 0.6], '4': [0.4, 0.0], '5': [0.0, 0.6]}"
9,374.0451927,"{'1': [0.2, 1.0], '2': [0.6, 0.0], '3': [0.4, 0.2], '4': [0.6, 0.4], '5': [0.0, 0.8]}"
,400.742216,
