run,rewards,policy
0,360.5849059,"{'1': [0.2, 1.0], '2': [0.0, 0.4], '3': [0.2, 0.6], '4': [0.6, 1.0], '5': [0.0, 0.2]}"
1,402.8487464,"{'1': [0.2, 1.0], '2': [0.6, 0.4], '3': [0.8, 0.8], '4': [0.0, 0.4], '5': [0.2, 0.2]}"
2,443.9246946,"{'1': [0.2, 1.0], '2': [1.0, 0.2], '3': [0.0, 1.0], '4': [0.2, 0.6], '5': [0.2, 0.4]}"
3,364.2223615,"{'1': [0.2, 1.0], '2': [0.0, 0.6], '3': [1.0, 0.4], '4': [0.6, 0.2], '5': [0.2, 0.8]}"
4,467.0505763,"{'1': [0.2, 1.0], '2': [0.2, 0.0], '3': [0.8, 0.4], '4': [0.8, 0.0], '5': [0.0, 0.6]}"
5,353.2882277,"{'1': [0.2, 1.0], '2': [1.0, 0.4], '3': [0.2, 0.4], '4': [0.6, 0.2], '5': [0.2, 0.8]}"
6,346.7746018,"{'1': [0.2, 1.0], '2': [0.0, 0.8], '3': [0.6, 0.2], '4': [1.0, 0.6], '5': [0.4, 0.2]}"
7,469.6745241,"{'1': [0.2, 1.0], '2': [0.2, 0.4], '3': [0.8, 1.0], '4': [1.0, 0.2], '5': [0.0, 0.6]}"
8,509.9178941,"{'1': [0.2, 1.0], '2': [1.0, 0.4], '3': [0.8, 1.0], '4': [0.4, 0.2], '5': [0.0, 0.4]}"
9,348.3955617,"{'1': [0.2, 1.0], '2': [0.0, 0.2], '3': [0.4, 0.6], '4': [0.8, 0.2], '5': [0.0, 0.8]}"
,383.535554,
