run,rewards,policy
0,248.7710234,"{'1': [0.0, 1.0], '2': [1.0, 0.8], '3': [0.6, 0.2], '4': [0.0, 0.4], '5': [0.0, 0.2]}"
1,289.1899128,"{'1': [0.0, 1], '2': [0.6000000000000001, 0.8], '3': [0.4, 0.0], '4': [0.0, 0.8], '5': [0.6000000000000001, 0.2]}"
2,262.2612325,"{'1': [0.0, 1.0], '2': [0.8, 0.0], '3': [0.0, 0.2], '4': [0.6, 1.0], '5': [0.6, 0.0]}"
3,271.1315023,"{'1': [0.0, 1.0], '2': [1.0, 0.2], '3': [0.4, 0.2], '4': [0.8, 0.6], '5': [0.0, 0.2]}"
4,291.7767209,"{'1': [0.0, 1.0], '2': [0.8, 0.4], '3': [0.2, 0.0], '4': [0.2, 1.0], '5': [0.8, 0.0]}"
5,282.0977087,"{'1': [0.0, 1.0], '2': [1.0, 0.6], '3': [0.8, 0.4], '4': [1.0, 0.0], '5': [0.2, 0.4]}"
6,264.9682148,"{'1': [0.0, 1], '2': [0.8, 0.2], '3': [0.4, 0.0], '4': [0.8, 0.8], '5': [0.2, 0.8]}"
7,287.9244875,"{'1': [0.0, 1.0], '2': [1.0, 0.8], '3': [0.2, 0.6], '4': [0.0, 0.8], '5': [0.0, 0.4]}"
8,239.9436255,"{'1': [0.0, 1.0], '2': [0.2, 0.2], '3': [0.8, 0.2], '4': [0.2, 0.8], '5': [0.6, 0.4]}"
9,217.7919195,"{'1': [0.0, 1.0], '2': [1.0, 0.8], '3': [0.8, 0.2], '4': [0.2, 0.6], '5': [0.2, 0.6]}"
,268.0498586,
