run,rewards,policy
0,516.3941978,"{'1': [0.2, 1.0], '2': [0.0, 0.2], '3': [0.8, 0.0], '4': [1.0, 0.0], '5': [0.0, 0.4]}"
1,478.6366674,"{'1': [0.2, 1.0], '2': [0.6, 0.0], '3': [0.4, 0.4], '4': [0.8, 0.0], '5': [0.0, 0.6]}"
2,349.6005298,"{'1': [0.2, 1.0], '2': [0.6, 0.0], '3': [0.4, 1.0], '4': [0.2, 0.8], '5': [0.0, 0.8]}"
3,485.1816895,"{'1': [0.2, 1.0], '2': [0.2, 0.6], '3': [0.2, 0.0], '4': [0.8, 0.2], '5': [0.2, 0.4]}"
4,442.0870093,"{'1': [0.2, 1.0], '2': [1.0, 0.6], '3': [0.2, 1.0], '4': [0.2, 0.6], '5': [0.0, 0.6]}"
5,535.6393741,"{'1': [0.2, 1.0], '2': [0.6, 0.4], '3': [0.4, 0.2], '4': [0.8, 0.4], '5': [0.0, 0.4]}"
6,335.9186738,"{'1': [0.2, 1.0], '2': [0.4, 1.0], '3': [0.2, 0.0], '4': [0.8, 0.6], '5': [0.4, 1.0]}"
7,337.6016179,"{'1': [0.2, 1.0], '2': [0.4, 1.0], '3': [0.6, 0.8], '4': [0.0, 1.0], '5': [0.2, 0.6]}"
8,473.5853999,"{'1': [0.2, 1.0], '2': [0.2, 0.4], '3': [0.8, 0.0], '4': [1.0, 0.4], '5': [0.0, 0.6]}"
9,488.1534868,"{'1': [0.2, 1.0], '2': [0.2, 0.4], '3': [0.2, 1.0], '4': [0.4, 0.0], '5': [0.0, 0.6]}"
