run,rewards,policy
0,416.1430464538037,"{'1': [0.2, 1.0], '2': [0.4, 0.3], '3': [0.4, 0.2], '4': [0.9, 0.6], '5': [0.0, 0.4]}"
1,471.57398386226225,"{'1': [0.2, 1.0], '2': [0.5, 0.3], '3': [0.4, 0.9], '4': [0.5, 0.3], '5': [0.2, 0.4]}"
2,351.8938731473307,"{'1': [0.2, 1.0], '2': [0.5, 0.3], '3': [0.0, 0.2], '4': [0.1, 0.5], '5': [0.0, 0.2]}"
3,332.2050357541244,"{'1': [0.2, 1.0], '2': [0.9, 0.0], '3': [0.5, 0.1], '4': [0.5, 0.3], '5': [0.7, 0.9]}"
4,454.39993792803597,"{'1': [0.2, 1.0], '2': [0.2, 0.4], '3': [0.3, 0.7], '4': [0.1, 0.6], '5': [0.0, 0.3]}"
5,376.6499802579128,"{'1': [0.2, 1.0], '2': [0.7, 1.0], '3': [0.1, 0.3], '4': [0.2, 0.8], '5': [0.4, 0.6]}"
6,343.15977708536036,"{'1': [0.2, 1.0], '2': [0.2, 0.8], '3': [1.0, 0.5], '4': [0.2, 0.6], '5': [0.5, 0.0]}"
7,524.7949843198418,"{'1': [0.2, 1.0], '2': [0.6, 0.9], '3': [0.2, 0.6], '4': [0.4, 0.0], '5': [0.1, 0.5]}"
8,540.8329245659653,"{'1': [0.2, 1.0], '2': [1.0, 0.7], '3': [0.9, 0.2], '4': [1.0, 0.0], '5': [0.0, 0.5]}"
9,497.3734239428582,"{'1': [0.2, 1.0], '2': [0.3, 0.7], '3': [0.2, 0.1], '4': [0.7, 0.4], '5': [0.2, 0.4]}"
