run,rewards,policy
0,391.8347254,"{'1': [0.2, 1.0], '2': [0.6, 0.2], '3': [0.2, 0.4], '4': [0.2, 0.4], '5': [0.0, 0.2]}"
1,351.3322946,"{'1': [0.2, 1.0], '2': [0.0, 0.6], '3': [0.4, 0.0], '4': [0.8, 0.4], '5': [0.4, 0.8]}"
2,435.0674268,"{'1': [0.2, 1.0], '2': [0.6, 0.0], '3': [0.8, 0.2], '4': [0.4, 0.2], '5': [0.2, 0.6]}"
3,353.5565625,"{'1': [0.2, 1.0], '2': [0.0, 0.2], '3': [0.6, 0.0], '4': [0.0, 0.8], '5': [0.0, 0.2]}"
4,478.1780222,"{'1': [0.2, 1.0], '2': [0.0, 1.0], '3': [0.4, 0.8], '4': [0.6, 0.2], '5': [0.2, 0.4]}"
5,502.8846441,"{'1': [0.2, 1.0], '2': [0.6, 0.8], '3': [0.6, 0.4], '4': [0.8, 0.0], '5': [0.0, 0.6]}"
6,468.0381092,"{'1': [0.2, 1.0], '2': [1.0, 0.6], '3': [0.4, 0.0], '4': [1.0, 0.2], '5': [0.2, 0.6]}"
7,531.2503554,"{'1': [0.2, 1.0], '2': [0.0, 1.0], '3': [0.8, 0.6], '4': [1.0, 0.2], '5': [0.0, 0.4]}"
8,411.0206173,"{'1': [0.2, 1.0], '2': [1.0, 0.4], '3': [0.6, 0.8], '4': [0.2, 0.0], '5': [0.0, 0.2]}"
9,496.9528764,"{'1': [0.2, 1.0], '2': [0.8, 0.0], '3': [0.4, 0.0], '4': [0.6, 0.2], '5': [0.0, 0.6]}"
,451.552768,
