run,rewards,policy
0,440.3350308481908,"{'1': [0.2, 1.0], '2': [0.2, 0.4], '3': [0.0, 0.8], '4': [0.8, 0.6], '5': [0.2, 0.6]}"
1,401.1222850343091,"{'1': [0.2, 1.0], '2': [0.9, 0.3], '3': [0.0, 0.5], '4': [0.8, 0.3], '5': [0.0, 0.2]}"
2,365.43617157824076,"{'1': [0.2, 1.0], '2': [1.0, 0.6], '3': [0.3, 0.0], '4': [0.3, 1.0], '5': [0.0, 0.4]}"
3,470.20224729326253,"{'1': [0.2, 1.0], '2': [0.0, 0.4], '3': [0.8, 0.4], '4': [0.4, 0.4], '5': [0.0, 0.6]}"
4,392.3058776468886,"{'1': [0.2, 1.0], '2': [0.9, 0.6], '3': [0.1, 0.4], '4': [0.0, 0.4], '5': [0.3, 0.6]}"
5,521.3361022420249,"{'1': [0.2, 1.0], '2': [0.8, 0.6], '3': [0.2, 0.7], '4': [0.8, 0.2], '5': [0.1, 0.4]}"
6,529.5061916379468,"{'1': [0.2, 1.0], '2': [0.4, 0.7], '3': [0.3, 1.0], '4': [0.9, 0.4], '5': [0.0, 0.5]}"
7,370.95072627970234,"{'1': [0.2, 1.0], '2': [0.4, 0.8], '3': [0.3, 0.9], '4': [0.5, 0.1], '5': [0.7, 0.9]}"
8,357.30206450316905,"{'1': [0.2, 1.0], '2': [0.5, 1.0], '3': [0.2, 0.9], '4': [0.7, 0.2], '5': [0.3, 0.6]}"
9,538.0009422303649,"{'1': [0.2, 1.0], '2': [0.1, 0.9], '3': [0.9, 0.4], '4': [1.0, 0.7], '5': [0.1, 0.5]}"
