run,rewards,policy
0,379.6030615,"{'1': [0.2, 1.0], '2': [0.0, 0.0], '3': [0.0, 0.2], '4': [0.4, 0.4], '5': [0.4, 0.4]}"
1,344.4674861,"{'1': [0.2, 1.0], '2': [0.6, 0.8], '3': [0.4, 0.6], '4': [0.8, 1.0], '5': [0.2, 0.0]}"
2,429.2126439,"{'1': [0.2, 1.0], '2': [0.0, 0.6], '3': [1.0, 0.2], '4': [0.6, 0.0], '5': [0.2, 0.6]}"
3,420.5890463,"{'1': [0.2, 1.0], '2': [0.4, 0.2], '3': [0.6, 0.4], '4': [0.4, 0.2], '5': [0.0, 0.2]}"
4,365.2248131,"{'1': [0.2, 1.0], '2': [0.6, 0.4], '3': [0.2, 0.8], '4': [1.0, 0.8], '5': [0.0, 0.2]}"
5,363.170633,"{'1': [0.2, 1.0], '2': [0.0, 0.0], '3': [0.4, 0.0], '4': [0.6, 0.6], '5': [0.4, 0.0]}"
6,337.7633904,"{'1': [0.2, 1.0], '2': [0.0, 0.2], '3': [0.6, 1.0], '4': [0.0, 0.8], '5': [0.8, 0.0]}"
7,410.8867749,"{'1': [0.2, 1.0], '2': [1.0, 0.6], '3': [0.8, 0.4], '4': [1.0, 0.0], '5': [0.0, 0.2]}"
8,427.3906481,"{'1': [0.2, 1.0], '2': [0.6, 0.2], '3': [0.2, 0.8], '4': [0.6, 0.8], '5': [0.2, 0.6]}"
9,353.0021475,"{'1': [0.2, 1.0], '2': [0.8, 0.0], '3': [0.2, 0.0], '4': [0.6, 1.0], '5': [0.2, 0.4]}"
,372.4139373,
