run,rewards,policy
0,359.53144901751523,"{'1': [0.2, 1.0], '2': [0.8, 0.4], '3': [1.0, 0.2], '4': [0.1, 0.9], '5': [0.7, 0.2]}"
1,491.5952324118815,"{'1': [0.2, 1.0], '2': [0.30000000000000004, 0.6000000000000001], '3': [0.4, 0.30000000000000004], '4': [0.5, 0.0], '5': [0.1, 0.0]}"
2,443.06697984415115,"{'1': [0.2, 1.0], '2': [0.7, 0.4], '3': [0.2, 0.8], '4': [0.4, 0.9], '5': [0.2, 0.5]}"
3,414.00372688927416,"{'1': [0.2, 1.0], '2': [0.0, 0.1], '3': [0.8, 0.7000000000000001], '4': [0.30000000000000004, 0.4], '5': [0.2, 0.30000000000000004]}"
4,535.5910020460486,"{'1': [0.2, 1.0], '2': [0.8, 0.6], '3': [0.6, 0.2], '4': [0.9, 0.0], '5': [0.1, 0.4]}"
5,379.50682770677514,"{'1': [0.2, 1.0], '2': [1.0, 0.4], '3': [1.0, 0.7], '4': [0.5, 1.0], '5': [0.2, 0.5]}"
6,350.1318611934954,"{'1': [0.2, 1.0], '2': [0.9, 0.0], '3': [0.4, 0.1], '4': [0.6, 0.8], '5': [0.2, 0.7]}"
7,388.56632784147195,"{'1': [0.2, 1.0], '2': [0.8, 0.4], '3': [0.6, 0.2], '4': [0.8, 0.2], '5': [0.2, 0.7]}"
8,354.85950237891365,"{'1': [0.2, 1.0], '2': [0.9, 0.4], '3': [0.2, 0.5], '4': [0.2, 0.6000000000000001], '5': [0.30000000000000004, 0.2]}"
9,322.0279958942055,"{'1': [0.2, 1.0], '2': [0.9, 0.6], '3': [0.2, 0.5], '4': [0.9, 0.7], '5': [0.4, 0.8]}"
