run,rewards,policy
0,444.9097863419964,"{'1': [0.2, 1.0], '2': [0.5, 0.0], '3': [0.6, 0.4], '4': [0.3, 0.6], '5': [0.2, 0.6]}"
1,326.39871342281106,"{'1': [0.2, 1.0], '2': [0.3, 0.1], '3': [0.8, 0.6], '4': [0.2, 1.0], '5': [0.8, 0.1]}"
2,510.5251431000927,"{'1': [0.2, 1.0], '2': [0.4, 1.0], '3': [0.4, 0.2], '4': [0.7, 0.0], '5': [0.0, 0.4]}"
3,452.36359782563517,"{'1': [0.2, 1.0], '2': [0.5, 0.7], '3': [0.1, 0.9], '4': [0.0, 0.8], '5': [0.2, 0.5]}"
4,420.3049733110669,"{'1': [0.2, 1.0], '2': [0.8, 0.6], '3': [0.0, 0.7], '4': [0.8, 0.1], '5': [0.2, 0.6]}"
5,348.73115508948206,"{'1': [0.2, 1.0], '2': [0.6, 0.3], '3': [0.5, 0.1], '4': [0.0, 0.7], '5': [0.4, 1.0]}"
6,421.66636970415345,"{'1': [0.2, 1.0], '2': [0.9, 0.6], '3': [0.4, 0.9], '4': [0.3, 0.8], '5': [0.0, 0.6]}"
7,332.4642511896415,"{'1': [0.2, 1.0], '2': [0.4, 0.7], '3': [0.9, 0.2], '4': [0.4, 0.1], '5': [0.9, 0.1]}"
8,533.283234698566,"{'1': [0.2, 1.0], '2': [0.5, 0.2], '3': [0.3, 0.9], '4': [0.5, 0.9], '5': [0.0, 0.5]}"
9,342.39659368582164,"{'1': [0.2, 1.0], '2': [0.0, 0.9], '3': [0.8, 0.3], '4': [0.0, 0.4], '5': [0.5, 0.0]}"
