run,rewards,policy
0,371.7195807,"{'1': [0.2, 1.0], '2': [0.0, 0.0], '3': [0.2, 0.2], '4': [0.2, 0.8], '5': [0.6, 0.0]}"
1,478.2420061,"{'1': [0.2, 1.0], '2': [0.6, 0.0], '3': [0.4, 1.0], '4': [0.4, 0.2], '5': [0.0, 0.6]}"
2,514.9168446,"{'1': [0.2, 1.0], '2': [0.2, 0.6], '3': [0.8, 0.0], '4': [1.0, 0.2], '5': [0.0, 0.4]}"
3,467.8096848,"{'1': [0.2, 1.0], '2': [0.6, 0.4], '3': [0.8, 0.2], '4': [1.0, 0.0], '5': [0.2, 0.4]}"
4,330.5285048,"{'1': [0.2, 1.0], '2': [0.0, 0.4], '3': [0.0, 0.2], '4': [0.6, 0.8], '5': [0.4, 0.0]}"
5,477.132169,"{'1': [0.2, 1.0], '2': [0.4, 0.6], '3': [1.0, 0.0], '4': [0.8, 1.0], '5': [0.2, 0.4]}"
6,523.1162685,"{'1': [0.2, 1.0], '2': [0.0, 0.2], '3': [0.0, 0.4], '4': [0.4, 0.0], '5': [0.0, 0.4]}"
7,501.8422825,"{'1': [0.2, 1.0], '2': [0.8, 0.6], '3': [0.4, 1.0], '4': [0.8, 0.0], '5': [0.0, 0.6]}"
8,532.9276807,"{'1': [0.2, 1.0], '2': [0.8, 1.0], '3': [0.6, 0.4], '4': [1.0, 0.0], '5': [0.0, 0.4]}"
9,495.9033601,"{'1': [0.2, 1.0], '2': [1.0, 0.0], '3': [0.4, 1.0], '4': [0.8, 0.0], '5': [0.2, 0.4]}"
,,
,487.0726831,
