run,rewards,policy
0,352.79766622899217,"{'1': [0.2, 1.0], '2': [0.3, 0.0], '3': [0.6, 0.2], '4': [0.9, 0.5], '5': [0.5, 0.8]}"
1,348.7986250267234,"{'1': [0.2, 1.0], '2': [0.3, 0.8], '3': [0.3, 0.0], '4': [0.7, 0.9], '5': [0.0, 0.4]}"
2,389.5561580105098,"{'1': [0.2, 1.0], '2': [1.0, 0.2], '3': [0.7, 0.3], '4': [0.6, 0.3], '5': [0.5, 0.0]}"
3,476.2228583162501,"{'1': [0.2, 1.0], '2': [0.5, 1.0], '3': [1.0, 0.6], '4': [0.1, 0.4], '5': [0.2, 0.5]}"
4,346.31877498308086,"{'1': [0.2, 1.0], '2': [0.5, 1.0], '3': [0.3, 0.7], '4': [0.1, 1.0], '5': [0.0, 0.8]}"
5,360.94886048748725,"{'1': [0.2, 1.0], '2': [0.3, 0.7], '3': [0.7, 0.0], '4': [0.8, 0.5], '5': [0.0, 0.9]}"
6,368.92946810458835,"{'1': [0.2, 1.0], '2': [0.1, 0.4], '3': [0.8, 0.6], '4': [0.7, 0.2], '5': [0.2, 0.7]}"
7,372.40743288565864,"{'1': [0.2, 1.0], '2': [0.2, 0.4], '3': [0.4, 0.7], '4': [0.3, 0.4], '5': [0.3, 0.4]}"
8,325.6407895090965,"{'1': [0.2, 1.0], '2': [0.4, 1.0], '3': [1.0, 0.1], '4': [0.9, 0.3], '5': [0.3, 1.0]}"
9,508.49031328420364,"{'1': [0.2, 1.0], '2': [0.1, 0.7], '3': [0.1, 0.6], '4': [0.7, 0.9], '5': [0.0, 0.5]}"
