run,rewards,policy
0,548.0119759641184,"{'1': [0.2, 1.0], '2': [0.3, 0.8], '3': [0.3, 0.9], '4': [0.9, 0.7], '5': [0.1, 0.4]}"
1,511.9640768331655,"{'1': [0.2, 1.0], '2': [0.0, 1.0], '3': [0.3, 0.0], '4': [0.9, 0.0], '5': [0.0, 0.5]}"
2,363.95427939341374,"{'1': [0.2, 1.0], '2': [0.4, 0.1], '3': [0.2, 0.6], '4': [1.0, 0.0], '5': [1.0, 0.6]}"
3,390.79397377403336,"{'1': [0.2, 1.0], '2': [0.0, 0.8], '3': [0.2, 0.5], '4': [0.9, 0.0], '5': [0.1, 0.7]}"
4,520.3387401476671,"{'1': [0.2, 1.0], '2': [0.2, 0.2], '3': [0.8, 0.4], '4': [0.9, 0.8], '5': [0.0, 0.4]}"
5,482.67819345810483,"{'1': [0.2, 1.0], '2': [0.7, 0.2], '3': [0.8, 0.6], '4': [0.4, 0.1], '5': [0.2, 0.5]}"
6,372.91828766837716,"{'1': [0.2, 1.0], '2': [0.1, 0.0], '3': [0.0, 0.1], '4': [0.2, 0.6], '5': [0.0, 0.8]}"
7,328.78524170001003,"{'1': [0.2, 1.0], '2': [0.6, 0.9], '3': [0.2, 1.0], '4': [0.4, 0.8], '5': [0.1, 0.8]}"
8,339.3512210358973,"{'1': [0.2, 1.0], '2': [1.0, 0.0], '3': [0.1, 0.9], '4': [0.6, 0.2], '5': [0.9, 0.0]}"
9,504.92115426235654,"{'1': [0.2, 1.0], '2': [0.8, 0.5], '3': [0.9, 0.2], '4': [0.3, 0.3], '5': [0.0, 0.3]}"
