run,rewards,policy
0,455.9343829147049,"{'1': [0.2, 1.0], '2': [0.3, 0.5], '3': [0.4, 0.9], '4': [0.4, 0.7], '5': [0.2, 0.5]}"
1,527.7585498215724,"{'1': [0.2, 1.0], '2': [0.7, 0.3], '3': [0.7, 1.0], '4': [0.9, 0.7], '5': [0.0, 0.4]}"
2,358.220915261453,"{'1': [0.2, 1.0], '2': [0.0, 0.6], '3': [0.9, 0.2], '4': [0.5, 0.3], '5': [0.2, 1.0]}"
3,435.72529632657876,"{'1': [0.2, 1.0], '2': [0.9, 0.6], '3': [0.1, 0.6], '4': [0.5, 0.1], '5': [0.0, 0.3]}"
4,355.992935620157,"{'1': [0.2, 1.0], '2': [0.1, 0.6], '3': [0.3, 0.0], '4': [0.3, 0.8], '5': [0.2, 0.5]}"
5,456.63759779776456,"{'1': [0.2, 1.0], '2': [0.4, 0.1], '3': [0.1, 1.0], '4': [0.0, 0.7], '5': [0.0, 0.3]}"
6,467.909272893838,"{'1': [0.2, 1.0], '2': [0.2, 0.8], '3': [0.6, 0.2], '4': [0.9, 0.6], '5': [0.2, 0.5]}"
7,430.6819045327184,"{'1': [0.2, 1.0], '2': [0.3, 0.9], '3': [0.2, 0.8], '4': [0.1, 0.6], '5': [0.9, 0.1]}"
8,392.6563272107904,"{'1': [0.2, 1.0], '2': [0.6, 0.9], '3': [0.4, 0.2], '4': [0.5, 0.0], '5': [0.3, 0.5]}"
9,347.11936639294896,"{'1': [0.2, 1.0], '2': [0.5, 0.0], '3': [0.1, 0.9], '4': [0.7, 0.4], '5': [0.2, 0.8]}"
