run,rewards,policy
0,472.3843349140776,"{'1': [0.2, 1.0], '2': [0.2, 0.8], '3': [0.8, 0.8], '4': [0.0, 0.0], '5': [0.2, 0.6]}"
1,401.34355545066944,"{'1': [0.2, 1.0], '2': [0.8, 0.2], '3': [0.8, 0.4], '4': [0.4, 0.2], '5': [0.2, 0.2]}"
2,436.31005859660445,"{'1': [0.2, 1.0], '2': [1.0, 0.2], '3': [0.7, 0.3], '4': [0.7, 0.0], '5': [0.2, 0.6]}"
3,519.1380189055476,"{'1': [0.2, 1.0], '2': [0.0, 0.3], '3': [1.0, 0.6], '4': [0.7, 0.1], '5': [0.1, 0.5]}"
4,364.63707613326557,"{'1': [0.2, 1.0], '2': [0.5, 0.8], '3': [0.5, 0.0], '4': [1.0, 0.3], '5': [0.5, 0.3]}"
5,454.62790128161123,"{'1': [0.2, 1.0], '2': [0.0, 0.3], '3': [0.6, 0.8], '4': [1.0, 0.1], '5': [0.0, 0.7]}"
6,367.90845766151085,"{'1': [0.2, 1.0], '2': [0.4, 0.1], '3': [0.4, 0.8], '4': [0.1, 1.0], '5': [0.1, 0.7]}"
7,478.5143879488074,"{'1': [0.2, 1.0], '2': [0.1, 0.4], '3': [0.4, 0.7], '4': [0.3, 0.5], '5': [0.3, 0.5]}"
8,508.62693180691167,"{'1': [0.2, 1.0], '2': [0.5, 0.0], '3': [0.4, 0.8], '4': [1.0, 0.6], '5': [0.0, 0.4]}"
9,334.06342927162757,"{'1': [0.2, 1.0], '2': [1.0, 0.4], '3': [0.1, 1.0], '4': [0.5, 0.3], '5': [0.4, 0.1]}"
