run,rewards,policy
0,478.0475254,"{'1': [0.2, 1.0], '2': [0.4, 0.6], '3': [0.2, 0.4], '4': [0.8, 0.0], '5': [0.0, 0.6]}"
1,434.3857536,"{'1': [0.2, 1.0], '2': [1.0, 0.0], '3': [0.0, 1.0], '4': [0.0, 1.0], '5': [0.2, 0.6]}"
2,482.6808381,"{'1': [0.2, 1.0], '2': [0.6, 0.0], '3': [0.6, 0.2], '4': [0.0, 0.0], '5': [0.0, 0.6]}"
3,429.1164965,"{'1': [0.2, 1.0], '2': [0.6, 0.2], '3': [0.0, 0.2], '4': [0.4, 0.6], '5': [1.0, 0.0]}"
4,494.6825497,"{'1': [0.2, 1.0], '2': [0.8, 0.4], '3': [1.0, 0.0], '4': [0.6, 0.2], '5': [0.0, 0.6]}"
5,384.9457608,"{'1': [0.2, 1.0], '2': [0.8, 1.0], '3': [0.2, 0.0], '4': [0.4, 0.8], '5': [0.2, 0.6]}"
6,495.4473203,"{'1': [0.2, 1.0], '2': [0.2, 0.0], '3': [0.8, 0.4], '4': [0.8, 0.4], '5': [0.0, 0.6]}"
7,490.3324502,"{'1': [0.2, 1.0], '2': [0.0, 0.2], '3': [0.2, 0.6], '4': [0.6, 0.2], '5': [0.0, 0.6]}"
8,454.3981141,"{'1': [0.2, 1.0], '2': [0.8, 0.0], '3': [0.4, 1.0], '4': [0.8, 0.6], '5': [0.0, 0.6]}"
9,365.0985658,"{'1': [0.2, 1.0], '2': [0.6, 0.2], '3': [0.2, 0.4], '4': [0.4, 0.0], '5': [0.8, 1.0]}"
,466.2228198,
