run,rewards,policy
0,444.3446204,"{'1': [0.2, 1.0], '2': [0.4, 0.2], '3': [0.6, 0.0], '4': [0.4, 0.8], '5': [0.8, 0.2]}"
1,335.4668626,"{'1': [0.2, 1.0], '2': [0.6, 0.8], '3': [0.6, 0.0], '4': [0.8, 0.2], '5': [0.0, 1.0]}"
2,516.1612957,"{'1': [0.2, 1.0], '2': [0.0, 0.2], '3': [0.6, 0.8], '4': [0.8, 0.4], '5': [0.0, 0.4]}"
3,495.3185266,"{'1': [0.2, 1.0], '2': [0.4, 0.6], '3': [0.8, 0.4], '4': [0.6, 0.0], '5': [0.0, 0.6]}"
4,491.865377,"{'1': [0.2, 1.0], '2': [0.2, 0.8], '3': [0.8, 0.4], '4': [0.6, 0.2], '5': [0.2, 0.4]}"
5,424.5870362,"{'1': [0.2, 1.0], '2': [0.8, 0.6], '3': [0.4, 0.8], '4': [1.0, 0.0], '5': [0.2, 0.6]}"
6,526.099042,"{'1': [0.2, 1.0], '2': [0.8, 0.0], '3': [0.0, 0.2], '4': [0.8, 0.4], '5': [0.0, 0.4]}"
7,514.293859,"{'1': [0.2, 1.0], '2': [0.2, 0.4], '3': [0.4, 0.6], '4': [0.2, 0.8], '5': [0.0, 0.4]}"
8,373.9987805,"{'1': [0.2, 1.0], '2': [0.6, 0.0], '3': [0.2, 0.0], '4': [0.8, 1.0], '5': [0.2, 0.0]}"
9,450.9589418,"{'1': [0.2, 1.0], '2': [0.8, 0.4], '3': [0.2, 0.8], '4': [0.6, 1.0], '5': [0.2, 0.4]}"
,471.4121594,
