run,rewards,policy
0,526.3408461605779,"{'1': [0.2, 1.0], '2': [0.8, 0.2], '3': [0.4, 0.7], '4': [0.8, 0.0], '5': [0.1, 0.5]}"
1,319.71813631586735,"{'1': [0.2, 1.0], '2': [0.8, 0.5], '3': [0.5, 0.8], '4': [1.0, 0.0], '5': [0.8, 0.1]}"
2,544.0062713021714,"{'1': [0.2, 1.0], '2': [1.0, 0.6], '3': [0.2, 0.6], '4': [0.9, 0.1], '5': [0.1, 0.5]}"
3,485.13742715346467,"{'1': [0.2, 1.0], '2': [0.9, 0.4], '3': [0.7, 0.5], '4': [0.8, 0.4], '5': [0.0, 0.6]}"
4,342.694174214805,"{'1': [0.2, 1.0], '2': [0.8, 0.7], '3': [0.1, 0.8], '4': [0.8, 0.3], '5': [0.6, 0.0]}"
5,381.0195472577088,"{'1': [0.2, 1.0], '2': [1.0, 0.5], '3': [0.3, 0.4], '4': [1.0, 0.3], '5': [0.2, 0.7]}"
6,558.8939678613954,"{'1': [0.2, 1.0], '2': [0.8, 0.9], '3': [0.0, 0.3], '4': [0.5, 0.2], '5': [0.0, 0.5]}"
7,354.11112252540096,"{'1': [0.2, 1.0], '2': [0.8, 0.1], '3': [0.6, 0.3], '4': [1.0, 0.2], '5': [0.1, 0.9]}"
8,375.65553588433943,"{'1': [0.2, 1.0], '2': [0.0, 0.2], '3': [0.5, 0.9], '4': [0.6, 0.0], '5': [0.3, 0.4]}"
9,366.9480338206387,"{'1': [0.2, 1.0], '2': [0.6, 0.0], '3': [0.0, 0.7], '4': [0.8, 0.7], '5': [0.3, 0.6]}"
