run,rewards,policy
0,358.7314982,"{'1': [0.0, 0.8], '2': [1.0, 0.2], '3': [0.6, 1.0], '4': [0.4, 0.0], '5': [1.0, 0.0]}"
1,350.7501447,"{'1': [0.0, 0.8], '2': [0.6, 0.0], '3': [0.6, 1.0], '4': [0.4, 0.0], '5': [0.0, 0.8]}"
2,332.9938676,"{'1': [1.0, 0.0], '2': [0.4, 0.8], '3': [0.2, 0.0], '4': [0.8, 0.2], '5': [0.0, 0.2]}"
3,267.6696308,"{'1': [0.0, 0.8], '2': [1.0, 0.2], '3': [0.2, 0.6], '4': [0.8, 0.0], '5': [0.8, 0.4]}"
4,236.4806455,"{'1': [0.0, 0.8], '2': [0.6, 1.0], '3': [0.2, 0.8], '4': [1.0, 0.2], '5': [0.2, 0.4]}"
5,335.4822674,"{'1': [0.0, 0.8], '2': [0.8, 0.0], '3': [0.2, 0.8], '4': [0.2, 0.4], '5': [0.8, 0.2]}"
6,263.5707282,"{'1': [0.0, 0.8], '2': [0.6000000000000001, 0.0], '3': [0.2, 0.6000000000000001], '4': [0.0, 0.4], '5': [0.4, 0.8]}"
7,333.9402845,"{'1': [0.0, 0.8], '2': [1.0, 0.2], '3': [0.4, 0.0], '4': [0.2, 1.0], '5': [0.8, 0.0]}"
8,266.2319365,"{'1': [0.0, 0.8], '2': [0.0, 0.0], '3': [0.0, 0.8], '4': [0.2, 0.2], '5': [0.8, 0.0]}"
9,228.4392444,"{'1': [0.0, 0.8], '2': [0.0, 0.2], '3': [0.6, 0.0], '4': [0.8, 0.4], '5': [0.4, 0.2]}"
,300.3317492,
