run,rewards,policy
0,318.6917852,"{'1': [0.0, 0.8], '2': [0.6, 0.2], '3': [0.0, 1.0], '4': [0.6, 0.4], '5': [1.0, 0.0]}"
1,346.0161378,"{'1': [0.0, 0.8], '2': [0.4, 0.0], '3': [1.0, 0.0], '4': [0.2, 0.8], '5': [0.8, 0.6]}"
2,325.0152774,"{'1': [0.0, 0.8], '2': [0.8, 0.0], '3': [0.2, 0.8], '4': [0.2, 0.8], '5': [0.8, 0.0]}"
3,275.6608753,"{'1': [0.0, 0.8], '2': [0.8, 0.0], '3': [0.4, 0.0], '4': [0.2, 0.8], '5': [0.6, 0.0]}"
4,289.4672936,"{'1': [0.0, 0.8], '2': [0.8, 0.0], '3': [0.6000000000000001, 0.8], '4': [0.0, 0.4], '5': [0.0, 0.2]}"
5,231.7893865,"{'1': [0.0, 0.8], '2': [0.4, 0.2], '3': [0.0, 1.0], '4': [0.0, 0.8], '5': [0.4, 0.2]}"
6,335.0383084,"{'1': [0.0, 0.8], '2': [1.0, 0.2], '3': [0.0, 0.2], '4': [0.2, 0.6], '5': [0.8, 0.4]}"
7,295.5577644,"{'1': [0.0, 0.8], '2': [0.6, 0.6], '3': [0.2, 0.4], '4': [0.8, 0.2], '5': [0.6, 0.4]}"
8,232.4338882,"{'1': [0.0, 0.8], '2': [0.8, 0.2], '3': [0.4, 0.2], '4': [0.8, 0.6], '5': [0.2, 0.2]}"
9,252.478574,"{'1': [0.0, 0.8], '2': [0.0, 0.6], '3': [0.8, 0.0], '4': [0.0, 0.6], '5': [0.4, 0.8]}"
,292.512529,
