run,rewards,policy
0,465.826211,"{'1': [0.2, 1.0], '2': [0.6, 0.2], '3': [0.0, 0.4], '4': [0.6, 0.0], '5': [0.2, 1.0]}"
1,448.9865624,"{'1': [0.2, 1.0], '2': [0.8, 0.0], '3': [0.4, 0.0], '4': [0.8, 0.4], '5': [0.4, 0.6]}"
2,489.9789941,"{'1': [0.2, 1.0], '2': [0.8, 0.4], '3': [0.6, 0.2], '4': [0.8, 0.4], '5': [0.0, 0.6]}"
3,446.7849669,"{'1': [0.2, 1.0], '2': [0.0, 0.4], '3': [0.8, 0.0], '4': [0.2, 0.4], '5': [0.2, 0.6]}"
4,385.5815295,"{'1': [0.2, 1.0], '2': [0.8, 0.0], '3': [0.6, 0.4], '4': [0.4, 0.0], '5': [0.0, 0.0]}"
5,518.2065925,"{'1': [0.2, 1.0], '2': [0.0, 1.0], '3': [0.2, 0.6], '4': [1.0, 0.8], '5': [0.0, 0.4]}"
6,377.8117499,"{'1': [0.2, 1.0], '2': [0.0, 0.2], '3': [0.2, 0.4], '4': [0.0, 1.0], '5': [0.2, 0.0]}"
7,431.5743116,"{'1': [0.2, 1.0], '2': [0.6, 0.4], '3': [1.0, 0.0], '4': [0.8, 0.2], '5': [0.2, 0.6]}"
8,360.3148686,"{'1': [0.2, 1.0], '2': [1.0, 0.8], '3': [0.2, 0.4], '4': [0.6, 0.8], '5': [0.2, 0.4]}"
9,505.9896175,"{'1': [0.2, 1.0], '2': [0.6, 0.2], '3': [0.8, 0.6], '4': [0.2, 1.0], '5': [0.0, 0.4]}"
,447.8857647,
