run,rewards,policy
0,387.43978622342905,"{'1': [0.2, 1.0], '2': [0.0, 0.3], '3': [0.7, 0.4], '4': [0.9, 0.2], '5': [0.1, 0.7]}"
1,454.14817143527307,"{'1': [0.2, 1.0], '2': [0.6000000000000001, 0.7000000000000001], '3': [0.1, 0.0], '4': [0.9, 0.9], '5': [0.2, 0.30000000000000004]}"
2,395.8904223245432,"{'1': [0.2, 1.0], '2': [0.5, 0.8], '3': [0.9, 0.2], '4': [0.7, 0.1], '5': [0.1, 0.7]}"
3,351.76244616821464,"{'1': [0.2, 1.0], '2': [0.30000000000000004, 0.9], '3': [0.4, 0.1], '4': [0.6000000000000001, 0.30000000000000004], '5': [0.4, 0.8]}"
4,320.0502376884503,"{'1': [0.2, 1.0], '2': [0.3, 0.7], '3': [0.8, 0.4], '4': [0.5, 0.1], '5': [0.9, 0.7]}"
5,338.1825244866377,"{'1': [0.2, 1.0], '2': [1.0, 0.2], '3': [0.9, 0.6], '4': [0.3, 0.9], '5': [0.0, 0.8]}"
6,473.91494732483966,"{'1': [0.2, 1.0], '2': [0.3, 0.7], '3': [0.4, 0.7], '4': [0.9, 0.5], '5': [0.2, 0.5]}"
7,529.576515285903,"{'1': [0.2, 1.0], '2': [0.30000000000000004, 0.6000000000000001], '3': [0.4, 0.6000000000000001], '4': [0.1, 0.4], '5': [0.1, 0.5]}"
8,429.31986012468747,"{'1': [0.2, 1.0], '2': [0.9, 0.3], '3': [0.2, 0.9], '4': [0.3, 0.8], '5': [0.0, 0.3]}"
9,412.6235590434006,"{'1': [0.2, 1.0], '2': [0.7, 1.0], '3': [0.4, 0.8], '4': [1.0, 0.5], '5': [0.1, 0.7]}"
