run,rewards,policy
0,247.3795363,"{'1': [0.2, 1.0], '2': [0.4, 0.0], '3': [1.0, 0.2], '4': [0.8, 1.0], '5': [0.8, 0.2]}"
1,190.4084174,"{'1': [0.2, 1], '2': [0.0, 0.2], '3': [0.4, 0.4], '4': [0.2, 0.0], '5': [0.0, 0.8]}"
2,225.65605,"{'1': [0.2, 1.0], '2': [0.4, 0.2], '3': [0.0, 1.0], '4': [0.6, 1.0], '5': [0.4, 0.2]}"
3,173.445679,"{'1': [0.2, 1.0], '2': [0.6, 0.0], '3': [0.2, 0.2], '4': [0.8, 0.0], '5': [0.2, 0.4]}"
4,336.402727,"{'1': [0.2, 1.0], '2': [0.8, 0.0], '3': [0.4, 1.0], '4': [0.8, 0.0], '5': [0.0, 0.8]}"
5,241.0195269,"{'1': [0.2, 1.0], '2': [0.6, 0.8], '3': [0.0, 0.6], '4': [0.0, 0.4], '5': [0.8, 0.0]}"
6,337.4207476,"{'1': [0.2, 1.0], '2': [0.4, 0.2], '3': [0.0, 0.8], '4': [1.0, 0.0], '5': [0.4, 0.8]}"
7,314.6465483,"{'1': [0.2, 1.0], '2': [1.0, 0.0], '3': [0.0, 0.4], '4': [0.8, 0.0], '5': [0.2, 0.8]}"
8,184.1157435,"{'1': [0.2, 1], '2': [0.2, 0.6000000000000001], '3': [0.8, 0.2], '4': [0.8, 0.8], '5': [0.2, 0.6000000000000001]}"
9,262.5514549,"{'1': [0.2, 1.0], '2': [1.0, 0.4], '3': [1.0, 0.0], '4': [0.2, 0.8], '5': [0.6, 0.4]}"
,244.1995316,
