run,rewards,policy
0,526.5246578,"{'1': [0.2, 1.0], '2': [0.0, 0.8], '3': [1.0, 0.0], '4': [0.8, 1.0], '5': [0.0, 0.4]}"
1,473.2545815,"{'1': [0.2, 1.0], '2': [0.6, 0.0], '3': [0.2, 0.8], '4': [0.0, 0.6], '5': [0.2, 0.6]}"
2,525.8310729,"{'1': [0.2, 1.0], '2': [0.8, 0.2], '3': [0.2, 0.8], '4': [0.2, 0.8], '5': [0.0, 0.4]}"
3,357.0010542,"{'1': [0.2, 1.0], '2': [0.8, 0.4], '3': [1.0, 0.8], '4': [0.4, 0.0], '5': [0.0, 0.8]}"
4,468.4145921,"{'1': [0.2, 1.0], '2': [0.6, 0.0], '3': [0.2, 0.6], '4': [1.0, 0.0], '5': [0.0, 0.6]}"
5,438.7436392,"{'1': [0.2, 1.0], '2': [0.0, 0.4], '3': [0.0, 1.0], '4': [1.0, 0.8], '5': [0.2, 0.6]}"
6,531.7851218,"{'1': [0.2, 1.0], '2': [0.2, 0.0], '3': [0.0, 0.6], '4': [0.8, 0.2], '5': [0.0, 0.4]}"
7,483.0665435,"{'1': [0.2, 1.0], '2': [0.0, 0.2], '3': [0.0, 0.2], '4': [0.6, 0.0], '5': [0.0, 0.6]}"
8,474.9867396,"{'1': [0.2, 1.0], '2': [0.2, 0.6], '3': [0.8, 0.0], '4': [0.8, 0.8], '5': [0.0, 0.6]}"
9,360.2056879,"{'1': [0.2, 1.0], '2': [1.0, 0.6], '3': [0.6, 0.0], '4': [0.4, 0.8], '5': [0.0, 0.6]}"
,474.1206605,
