run,rewards,policy
0,301.2498453,"{'1': [0.0, 0.8], '2': [0.2, 0.4], '3': [0.4, 0.8], '4': [0.2, 0.0], '5': [0.4, 0.4]}"
1,273.7401443,"{'1': [0.0, 1.0], '2': [0.8, 1.0], '3': [0.4, 0.2], '4': [0.8, 0.0], '5': [0.0, 0.2]}"
2,269.6073608,"{'1': [0.0, 0.8], '2': [0.2, 0.4], '3': [1.0, 0.0], '4': [0.8, 1.0], '5': [0.0, 0.6]}"
3,298.8050527,"{'1': [0.0, 0.8], '2': [1.0, 0.8], '3': [0.2, 0.6], '4': [0.8, 0.0], '5': [0.2, 0.8]}"
4,280.9554989,"{'1': [0.0, 0.8], '2': [0.0, 0.6], '3': [0.6, 0.2], '4': [0.2, 0.8], '5': [0.0, 0.6]}"
5,234.3972661,"{'1': [0.0, 0.8], '2': [0.8, 0.0], '3': [1.0, 0.0], '4': [0.4, 0.6], '5': [0.6, 0.0]}"
6,295.4377128,"{'1': [0.0, 0.8], '2': [0.6, 0.8], '3': [0.2, 1.0], '4': [1.0, 0.2], '5': [0.0, 0.4]}"
7,262.561421,"{'1': [0.0, 0.8], '2': [0.6, 1.0], '3': [0.0, 0.4], '4': [0.6, 0.2], '5': [0.0, 0.8]}"
8,252.3576771,"{'1': [0.0, 0.8], '2': [0.8, 0.4], '3': [0.8, 0.4], '4': [0.0, 0.2], '5': [0.0, 0.8]}"
9,319.511137,"{'1': [0.0, 0.8], '2': [1.0, 0.2], '3': [0.4, 0.0], '4': [0.0, 1.0], '5': [0.2, 0.6]}"
,277.3478216,
