run,rewards,policy
0,400.4718422333618,"{'1': [0.2, 1.0], '2': [0.5, 0.30000000000000004], '3': [0.9, 0.30000000000000004], '4': [0.5, 0.6000000000000001], '5': [0.0, 0.7000000000000001]}"
1,363.66365327764674,"{'1': [0.2, 1.0], '2': [0.1, 0.0], '3': [0.4, 0.2], '4': [0.2, 0.7000000000000001], '5': [0.0, 0.30000000000000004]}"
2,301.09811885131637,"{'1': [0.2, 1.0], '2': [1.0, 0.7], '3': [0.9, 0.5], '4': [0.9, 0.5], '5': [0.9, 0.0]}"
3,338.61784613794885,"{'1': [0.2, 1.0], '2': [0.7, 0.3], '3': [0.5, 1.0], '4': [0.3, 0.0], '5': [0.5, 1.0]}"
4,541.6105703485455,"{'1': [0.2, 1.0], '2': [0.8, 0.2], '3': [0.9, 0.5], '4': [0.7, 0.2], '5': [0.0, 0.5]}"
5,537.3672094473886,"{'1': [0.2, 1.0], '2': [0.8, 0.5], '3': [0.0, 0.4], '4': [0.6, 0.1], '5': [0.1, 0.5]}"
6,336.2116281030176,"{'1': [0.2, 1.0], '2': [0.4, 0.1], '3': [1.0, 0.0], '4': [0.6, 0.0], '5': [0.9, 0.0]}"
7,351.85678944768836,"{'1': [0.2, 1.0], '2': [0.5, 1.0], '3': [0.2, 0.5], '4': [0.3, 0.6000000000000001], '5': [0.1, 0.9]}"
8,389.33026658513336,"{'1': [0.2, 1.0], '2': [0.0, 0.7], '3': [0.3, 0.0], '4': [0.9, 0.2], '5': [0.2, 0.7000000000000001]}"
9,362.0109629044735,"{'1': [0.2, 1.0], '2': [0.4, 0.1], '3': [0.0, 0.0], '4': [0.2, 0.8], '5': [0.0, 0.9]}"
